y,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0,-9.63198,-8.165196,-10.585495,-2.724613,41.889687,-6.01119,11.977028,0.015162734,-7.5414696,-2.6853614
0,-9.302127,-8.268808,-10.419653,-2.3264298,41.775646,-6.5627446,11.871234,0.20737046,-7.7468157,-1.7486068
0,-9.579063,-8.288563,-10.411648,-2.8547757,41.425465,-6.2486753,11.383923,0.64747155,-7.559407,-2.631708
0,-9.52765,-8.089312,-10.919478,-2.7426858,41.70473,-6.3183923,12.099601,0.096701995,-7.5006666,-2.5535865
0,-9.575897,-8.333641,-10.556743,-2.6287723,41.592648,-5.9659076,10.877773,-0.10738533,-7.61746,-2.4439514
0,-9.488116,-8.278584,-10.448008,-2.6558738,42.298,-5.7203135,12.25331,0.2510187,-7.7152576,-2.5338714
0,-9.602579,-8.037591,-10.900124,-2.5628135,41.91411,-6.345024,11.90026,0.2874243,-7.251256,-2.2938159
0,-9.621649,-8.00416,-10.516872,-2.8980021,41.917625,-6.0505967,11.012345,0.33073223,-7.6191673,-2.9109814
0,-9.370981,-8.247613,-10.521125,-2.5375557,41.010475,-5.814518,11.592219,-0.01795923,-7.474813,-2.9314594
0,-9.684417,-8.551049,-10.609748,-2.4960856,41.052982,-6.191959,11.5651045,0.002051258,-7.6625757,-2.4818058
0,-9.813066,-8.155539,-10.625874,-3.0160043,41.860542,-6.226142,11.197903,-0.12560207,-7.506089,-2.8672955
0,-9.675968,-8.155533,-10.663211,-2.8405902,42.185726,-6.3446913,11.555331,0.09203841,-7.668013,-2.1317677
0,-9.676025,-7.984396,-11.136924,-2.3877141,42.467484,-6.339796,11.38154,-0.09107416,-7.8597913,-2.8314335
0,-9.689836,-8.0784235,-10.639816,-2.7953005,41.59717,-6.206189,11.305485,0.5651143,-7.5046077,-2.0340104
0,-9.801521,-8.012164,-10.820938,-2.381562,41.797035,-5.9775925,11.743891,0.38102534,-7.4113975,-2.024683
0,-9.609914,-7.786508,-10.643541,-2.8294275,41.643112,-6.0332823,11.732272,-0.025751494,-7.5558944,-2.8628507
0,-9.620154,-8.128203,-10.606906,-2.4754112,41.587395,-5.936369,11.913574,0.19869485,-7.590383,-2.49293
0,-9.586966,-8.285736,-10.787833,-2.70591,42.209545,-6.069486,11.305329,0.22110277,-7.3209043,-2.204895
0,-9.789195,-8.120883,-10.619414,-2.7112856,42.459557,-5.9032617,10.97718,0.1506489,-7.616169,-2.4063606
0,-9.633996,-8.141147,-10.662908,-2.716424,41.628345,-6.385924,11.46113,0.09212603,-7.5959983,-2.1189003
0,-9.805823,-7.994623,-10.815171,-2.6669662,41.051018,-5.8334494,11.278562,0.04513649,-7.4515777,-2.9564862
0,-9.710322,-8.263523,-10.55989,-2.6586742,41.577953,-5.7503924,12.469129,0.24870715,-7.4320583,-2.5211
0,-9.716999,-8.239542,-10.419303,-2.5576658,41.357605,-6.137243,11.962016,0.06024437,-7.4309297,-1.948255
0,-9.610932,-8.033743,-10.628189,-2.6734507,41.095325,-6.0726433,11.288113,-0.10195962,-7.5361953,-2.3090255
0,-9.487428,-8.228281,-10.927216,-2.4859593,42.091488,-6.3348994,11.786469,-0.09436989,-7.362659,-2.3072133
0,-9.567914,-8.3424635,-10.797299,-2.6544378,41.762302,-6.240811,11.688308,0.26995146,-7.4818735,-2.102719
0,-9.799938,-8.3269005,-10.716094,-2.6619587,41.12734,-5.9891887,12.032144,0.15833098,-7.348865,-2.5407465
0,-9.641478,-8.056,-10.723957,-2.6289172,41.901257,-6.1001434,12.151873,0.08648426,-7.5484676,-2.4056184
0,-9.404906,-7.998573,-10.701519,-2.6355193,42.259865,-6.251548,11.690754,0.6116735,-7.401919,-3.6298091
0,-9.648897,-8.010004,-10.92223,-2.6924963,41.430096,-5.924196,11.572461,0.3030989,-7.446951,-2.9584491
0,-9.758529,-8.359727,-10.736337,-2.8015327,42.164173,-6.115594,11.54092,0.04112298,-7.3307896,-2.3806095
0,-9.2699,-8.166808,-10.808305,-2.7557094,41.21294,-6.042143,11.58036,0.24770312,-7.3947945,-2.668799
0,-9.477034,-8.282316,-10.350624,-2.8187408,41.7501,-6.075697,11.491504,-0.106635585,-7.7360363,-2.4099653
0,-9.633231,-8.287349,-10.744676,-2.7120628,41.752842,-6.0588465,11.873675,0.36079705,-7.4630923,-3.0148892
5,-10.3948765,-8.5999155,-11.492893,-2.4600623,7.717037,-7.2143292,7.291526,-2.159484,-8.327319,8.982312
5,-10.054097,-8.730825,-11.149513,-2.6436484,7.3036494,-7.186899,7.1921883,-2.3008912,-8.342142,8.499796
5,-10.4837055,-8.411665,-11.232452,-2.393299,8.379796,-7.10983,7.289643,-1.9839605,-8.33718,9.837856
5,-10.221046,-8.419833,-11.266762,-2.5295253,7.913231,-7.0414047,6.76534,-2.3451653,-8.597298,10.034839
5,-10.217154,-8.878043,-11.194866,-2.5738833,8.622729,-7.133963,7.7976274,-2.291089,-8.6035385,9.805467
5,-10.635845,-8.337064,-11.358569,-2.4510722,8.87948,-7.176704,7.7052464,-1.8769661,-8.287824,9.508407
5,-10.363559,-8.388667,-11.245074,-2.7319877,7.4655957,-7.132092,8.031911,-2.2219305,-8.161892,8.697904
5,-10.34663,-8.315921,-10.753684,-2.287128,8.885429,-7.1054235,8.25266,-2.1579676,-8.604176,8.649287
5,-10.373344,-8.500258,-10.997255,-2.3565648,7.801464,-7.090053,7.566216,-2.303972,-8.679942,8.658858
5,-9.992626,-8.7097845,-11.017664,-2.793432,7.929983,-7.208547,7.150538,-2.1477764,-8.469145,8.950603
5,-10.092767,-8.5799,-10.922122,-2.4336925,8.274915,-7.2881274,7.3907757,-1.9038447,-8.375084,9.419245
5,-10.406451,-8.800154,-11.051631,-2.134903,7.6250925,-7.404671,7.671321,-2.2719061,-8.460126,8.349771
5,-10.747529,-8.751557,-10.87736,-2.3312223,7.3265543,-7.122279,6.9821715,-2.4782915,-8.73676,8.32206
5,-10.162647,-8.530869,-11.230845,-2.8264172,7.276414,-7.040327,7.590292,-2.332838,-8.444854,9.083458
5,-10.286859,-8.364249,-11.230781,-3.0636137,7.200046,-7.030109,6.9560304,-2.148357,-8.37574,8.035165
5,-10.414283,-8.144576,-11.070946,-2.6263263,7.099705,-7.4348297,7.522415,-2.233887,-8.2982855,8.369173
5,-10.250846,-8.687676,-10.998203,-3.076475,7.512484,-7.2204885,7.1573687,-2.0964174,-8.506656,8.568527
5,-10.292804,-8.338808,-11.369151,-2.2875876,8.199606,-7.441517,7.9394846,-2.0338092,-8.541593,8.3496
5,-10.290556,-8.508214,-11.369043,-2.358674,7.4112277,-7.213301,6.8825817,-2.3861127,-8.546028,8.917639
5,-10.517242,-8.518217,-10.918665,-2.2981713,11.85384,-7.648943,6.585863,-2.190635,-8.309118,16.58992
5,-10.98754,-8.235334,-10.606814,-1.9783194,14.617858,-7.358212,6.715923,-2.4629903,-8.774085,21.35198
5,-10.56106,-8.319707,-11.358954,-2.7938528,10.971411,-7.5332174,6.2671843,-2.3836772,-8.41533,16.618803
5,-10.743751,-8.312629,-10.954925,-1.8947257,14.639241,-7.2762794,6.896538,-2.1603482,-8.111055,20.128416
5,-11.068404,-8.322385,-11.020053,-1.7228348,13.947304,-7.3514495,7.7063413,-2.2293036,-8.218969,19.669292
5,-10.997011,-8.179747,-11.201455,-2.062313,13.484586,-7.5797696,7.461684,-2.5018947,-8.295417,20.549606
5,-10.67206,-8.210321,-11.054541,-2.76786,10.037992,-7.3385277,6.6015396,-2.2500818,-8.063442,15.182145
5,-10.880089,-8.352795,-11.031907,-1.9828122,14.854724,-7.8326335,7.7246165,-2.2686312,-8.622651,21.434961
5,-10.9094925,-8.374922,-11.220652,-1.625435,15.393608,-7.8663983,7.468842,-2.278314,-8.379634,21.147995
5,-10.826615,-8.099373,-10.880536,-2.3351645,14.88614,-7.516795,7.722023,-2.2047427,-8.5877075,21.417288
5,-11.15043,-8.051807,-10.935758,-1.8493109,17.785414,-8.121504,10.177914,-2.3986745,-8.775112,24.541927
5,-11.06515,-8.310425,-10.826112,-1.8577759,17.05135,-7.976382,10.63375,-2.5954711,-8.362258,24.633467
5,-10.86524,-7.866161,-10.897203,-2.0228846,16.476936,-7.9485836,9.518799,-2.4856997,-8.7257185,23.397331
5,-10.950716,-8.122711,-11.352893,-1.5813307,16.660275,-8.167466,9.409289,-2.568318,-8.703725,23.421234
5,-10.832985,-8.452874,-11.010421,-2.052018,13.766797,-7.548406,9.932811,-2.0194643,-8.247793,15.725907
5,-11.029753,-8.306382,-11.231792,-1.9731331,17.379469,-7.613832,9.716376,-2.538921,-8.622352,23.960495
5,-11.2531805,-7.9834166,-11.276315,-1.9704059,16.605433,-7.8464713,9.410892,-2.1206405,-8.405016,23.736795
5,-11.0578785,-7.842855,-11.053118,-1.5176613,17.732248,-7.9613924,9.9019575,-2.6067724,-8.48369,24.780468
