y,z0,z1
0,-29.718248,-1.1401029
0,-29.612747,-1.1496644
0,-29.4608,-0.9900936
0,-29.740627,-0.9553477
0,-29.417873,-1.177706
0,-29.65779,-1.1562226
0,-29.815014,-1.1222634
0,-29.602842,-1.1903672
0,-29.466488,-1.0733331
0,-29.795332,-1.3175454
0,-30.14598,-1.2884737
0,-29.845882,-1.1739645
0,-29.839262,-1.0821471
0,-29.434237,-1.1758274
0,-29.659124,-1.0530246
0,-29.359993,-1.0178244
0,-29.687216,-1.1108236
0,-30.2224,-1.1956128
0,-29.851583,-1.4413888
0,-29.731916,-1.0797459
0,-29.551983,-1.2293645
0,-29.729387,-1.0147346
0,-29.72,-1.1881711
0,-29.471357,-0.991484
0,-30.019098,-1.1502141
0,-29.731043,-1.1305133
0,-29.89285,-1.0369667
0,-29.698904,-1.220366
0,-29.746395,-0.874878
0,-29.627325,-1.3904128
0,-29.820032,-1.2029324
0,-29.505692,-1.0492467
0,-29.661575,-1.0734359
0,-29.946829,-1.1610978
5,-29.408365,-3.196324
5,-29.75158,-3.2694802
5,-29.372372,-3.3408961
5,-29.731125,-3.278198
5,-29.737099,-3.358848
5,-29.437944,-3.5913775
5,-29.46644,-3.822156
5,-29.520699,-3.4665759
5,-29.482054,-3.2285485
5,-29.724592,-3.5170546
5,-29.484995,-3.123987
5,-29.52702,-3.1926265
5,-29.662386,-2.9807544
5,-29.538673,-3.52133
5,-29.360565,-3.37559
5,-29.105442,-3.2490785
5,-29.498379,-2.9233844
5,-29.441273,-2.9560437
5,-29.196644,-2.6980488
5,-28.53147,-6.9661975
5,-29.149385,-8.168093
5,-29.33308,-7.1048856
5,-28.957891,-7.814585
5,-29.37543,-7.772201
5,-29.486773,-7.6316376
5,-29.107973,-6.2106247
5,-29.292177,-7.6347547
5,-29.395227,-7.7599163
5,-29.330265,-7.8194175
5,-29.60026,-9.175563
5,-29.139917,-8.961008
5,-29.322344,-9.050171
5,-29.088194,-8.54878
5,-29.183529,-5.7632113
5,-29.029936,-8.809114
5,-29.403734,-8.925137
5,-29.497524,-8.977558
5,-28.979633,-8.858372
5,-29.492136,-8.342579
5,-29.563068,-8.593653
5,-29.251568,-8.005261
5,-29.324598,-8.174206
