y,z0,z1
0,-11.789992,6.437784
0,-11.839232,6.32014
0,-12.560785,7.424821
0,-12.367885,7.3430862
0,-11.363721,7.813978
0,-11.594763,8.063093
0,-12.48534,8.982039
0,-12.297127,9.31653
0,-12.238593,7.083997
0,-11.580328,6.1862445
0,-12.039815,7.514462
0,-11.408975,7.81901
0,-11.13418,8.100592
0,-10.423533,6.8163104
0,-12.261974,7.9923077
0,-12.259218,7.760254
0,-12.072379,8.669342
0,-11.523945,7.10118
0,-12.479452,8.298654
0,-12.960145,7.4031625
0,-11.735309,7.227029
0,-11.812373,6.9441366
0,-11.518681,9.21956
0,-11.509425,8.625864
0,-10.453375,7.3124275
0,-11.478188,8.953762
0,-10.835302,6.105708
0,-11.580494,8.153062
0,-11.507895,8.086425
0,-11.215697,7.5689774
0,-11.166503,7.5421133
0,-10.869567,6.9044623
0,-11.866424,8.137288
0,-11.986404,8.943292
5,1.7839441,-7.082032
5,-1.3217647,-6.144318
5,-1.3968134,-4.4730773
5,-0.64549726,-5.799511
5,0.82488537,-6.6705375
5,-0.41611093,-4.6573315
5,-1.9641603,-5.8250384
5,0.1391328,-5.827233
5,-2.2115092,-4.8973174
5,-1.883347,-6.0601726
5,0.71479833,-5.3584104
5,-0.19019175,-5.6580777
5,0.3972509,-5.168431
5,-0.50802386,-6.2879677
5,-0.5916724,-6.33292
5,0.65655935,-5.9360304
5,-1.5298963,-4.99358
5,-0.46042955,-6.2572346
5,0.12205173,-5.7461553
5,2.2864215,-0.39473712
5,2.4368894,0.34357882
5,1.5303211,-1.8619305
5,3.0995286,1.8684242
5,1.3167338,-2.7978835
5,3.1585407,-1.95826
5,3.002222,-1.7496785
5,2.582548,-1.538144
5,3.747386,3.112502
5,3.3297026,-0.7548981
5,4.6991735,2.6964006
5,4.121989,3.9557376
5,4.0888195,3.7668
5,2.2434871,0.90593576
5,3.6640904,1.0954943
5,4.3593264,3.081465
5,3.8970768,3.3140805
5,4.11273,3.0064006
5,3.666251,3.5310585
5,1.5098346,1.6434355
5,2.7434804,4.5454926
5,3.0697207,0.76487887
5,3.6351123,-0.4795636
5,3.41256,0.7554178
5,1.7214446,4.4423656
5,2.0725021,0.2660973
5,2.6091354,1.7645499
5,2.7411876,2.2000597
5,1.5662147,4.359767
5,2.8116171,0.21077186
5,2.8297882,2.0129647
5,2.9816873,4.4335604
5,3.498921,5.4184
5,2.5699303,5.7993345
5,2.0281625,3.061437
5,3.946457,5.008068
5,1.6721717,6.994049
5,2.322815,6.0835156
5,2.0298815,5.5566325
5,3.7196398,2.5662856
5,2.9008455,5.3877788
