y,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0,-3.3610923,1.0912012,-0.18425305,4.131986,-1.2172663,0.26560494,0.8087938,1.621343,4.2814717,-9.186235
0,-3.3165753,-0.9543529,-1.4316086,4.218026,-1.9227177,-0.27589813,-0.15862936,0.59103805,1.7230775,-9.680759
0,-3.1636195,1.7279186,0.10620596,3.8036287,-2.2824721,0.7821459,-0.9691948,1.975018,1.715017,-8.928318
0,-3.2947295,0.8011823,0.82507527,4.673249,-1.0602624,0.33973286,-1.4266852,1.7474393,4.0437093,-9.323051
0,-3.3835778,-1.3406384,1.0056865,3.9703624,-0.9380368,0.11776276,-0.3937453,1.7466204,3.7748206,-8.525801
0,-3.1657565,0.116424784,-4.5760535e-06,4.1108418,-1.2754903,0.22230679,1.2064298,0.77471155,2.7744195,-9.03456
0,-3.26586,2.5996606,1.0908661,4.133207,-1.9346182,-0.1442658,0.34449193,1.1873211,2.150509,-10.145523
0,-3.3940573,-2.2139513,0.26317942,4.0857472,-0.9717405,0.10657482,-1.2110176,2.2788305,2.3436594,-9.1512
0,-3.3631198,-0.7168417,2.386586,3.8887064,-1.424664,-0.90671456,0.5680158,1.1656673,2.9700463,-9.337442
0,-3.0919065,-0.59897274,-0.55692184,4.4269643,-2.2590818,0.32071966,-1.0768969,2.9024541,4.901652,-9.02876
0,-3.4820442,1.5856684,0.82057214,4.0454345,-2.0093021,-0.699973,0.37383077,2.0562558,3.3040185,-9.193033
0,-3.2468493,-1.1138506,0.5393781,3.7660618,-1.8041579,-0.6507718,1.0676879,1.5237646,1.5229242,-10.636985
0,-3.774253,0.43543243,-0.12925412,4.6312513,-2.157606,0.04204902,0.39331934,1.2548807,3.1377149,-8.514757
0,-2.67121,-0.7569846,-0.60772103,3.587861,-1.5725003,0.26184094,0.45010808,1.5752915,2.6040504,-8.976345
0,-3.602055,0.4872002,0.23325485,3.967647,-2.0565684,-0.9408819,-0.9861357,0.29741317,2.603741,-10.045211
0,-2.9988983,0.44877392,-0.44029194,4.2964773,-2.0299752,0.21950871,-2.6748743,1.5408719,1.3353671,-8.148042
0,-3.092781,0.04268807,0.516667,4.3611665,-3.0376313,1.115531,-2.3992143,2.082085,1.4323832,-8.290936
0,-3.0488572,-0.6648897,-0.9845604,4.009375,-2.4969802,1.176579,-3.0167294,1.66738,3.9489899,-9.439856
0,-3.260652,-0.87110674,-0.07878682,3.9140272,-1.9778807,-1.016204,0.16259977,0.33320707,3.3293366,-10.261286
0,-3.042128,2.8572726,0.09165703,4.53,-1.3022658,0.41635412,-1.1506958,1.4747071,2.8039422,-7.695137
0,-3.3100264,-0.6197349,0.022611622,4.1337194,-2.3394616,0.74795973,-0.48439422,2.1088614,2.2007687,-9.452503
0,-3.3185723,1.8181393,-0.6279594,4.465299,-1.1399769,-0.43895406,-0.58321327,2.220303,2.8500683,-8.665036
0,-4.574847,-0.26934788,0.72137976,4.005544,-2.7545743,-1.3905126,0.71092886,-1.0248077,2.0915923,-8.965209
0,-3.2872624,0.80425787,-0.005575523,4.3448725,-2.102029,0.46189773,-0.313945,1.5960929,4.4414697,-7.5205355
0,-3.0599546,1.1818615,0.4440072,4.115426,-2.32856,0.47677544,-0.62032425,0.89017665,3.4486103,-9.571682
0,-3.4103844,1.0909663,-0.44480085,4.103012,-1.9241216,-0.27878588,-0.45537987,2.4238772,1.9696653,-9.304911
0,-3.1748133,0.3849949,-0.3554239,3.8936057,-2.5870988,-0.1446034,0.77724063,2.193317,1.9898393,-7.181325
0,-3.319992,0.6106762,0.8127873,3.1683316,-1.4630939,-0.45558053,0.075220734,1.9129748,2.3425827,-9.009816
0,-3.8238173,-0.218991,-0.7384732,3.950277,-2.123284,-0.97033757,0.12871414,1.0235204,1.9255931,-10.044306
0,-3.1389234,-0.79821146,0.45886505,3.9249334,-2.2570786,0.8826968,-0.6702082,2.0528328,2.6638823,-8.689168
0,-2.9673977,0.50857306,-0.27371183,4.199025,-1.2218393,1.2624233,-0.19591433,1.5658529,2.7323349,-8.126822
0,-5.8267527,-2.1099534,0.96045107,4.2668977,-1.2411621,-1.6087419,-1.0108343,-1.3631175,1.5457287,-9.572919
0,-3.0562859,2.6282427,-0.0718265,4.3845444,-1.271055,0.8077041,-1.1307518,2.9016967,3.4315832,-8.620922
0,-3.3310246,1.4894047,0.32593992,4.05379,-1.8583095,-0.23731714,0.4432266,1.6543359,1.7972131,-9.370494
5,-1.2345169,-0.6905009,-1.6427698,-0.16110611,3.005962,0.44934246,-0.19912106,0.07817313,0.66563976,-2.9454432
5,-1.293338,-0.32800868,1.0439632,-1.536526,-1.6269944,1.0254333,-0.294111,2.4363823,2.391195,-1.4149384
5,3.1980314,-0.97435844,-2.0167985,1.2481214,0.9766749,1.5714324,-0.17285582,-0.2568736,2.8087354,-2.4397278
5,17.692411,-0.7586927,-1.1966336,2.2463505,1.6234605,-0.12553191,0.11945689,-0.14960682,0.7175357,-1.4249177
5,-0.8180182,-1.38933,1.6605406,-0.17600733,-0.043367267,0.87041986,0.5800036,0.9191583,2.433877,-3.7538505
5,0.0256567,-0.48296905,-0.21007526,-1.158762,1.3808699,1.0457256,-0.87231815,1.8354979,0.5247718,0.13818204
5,-7.533306,-0.48421323,-0.05578795,-1.3070341,0.71545357,0.96257484,0.13843763,0.78409535,1.5292541,-1.6141732
5,-0.31568158,-0.3780279,-1.4254001,-0.8444923,1.4571388,1.105585,-0.29107744,1.9424165,0.30280113,-1.963309
5,-0.9628377,-0.84121156,-0.2170882,-2.4203374,1.4569037,1.2236334,0.08593354,1.6485199,1.7998557,-1.1912533
5,-2.1590545,-0.53302777,-4.444008,-1.5047601,-0.15889579,0.4057863,-1.0643378,0.24217981,1.7334754,-1.5199372
5,-1.3884641,-1.8767948,-1.2571071,1.7931963,0.5628427,0.3766868,0.709361,3.2495353,0.27286547,-3.2948544
5,-2.8642924,-2.3418407,0.6504927,-0.935927,-0.10130417,2.2969534,-1.1174262,3.3784852,2.5909297,-2.8147235
5,-2.0789676,-1.9532554,0.77295274,0.5870135,0.48778957,2.52133,0.69212043,1.1555903,1.5273237,-2.0115511
5,-0.8618827,-0.9269025,-1.3002858,-1.2625945,0.9428343,0.67841166,0.22962917,0.4501281,1.9201944,-2.400943
5,0.5738572,-1.3050739,-1.040201,-3.1209197,2.254915,2.6367843,0.16700935,1.1134126,1.2286229,-2.9412448
5,0.56342876,-0.9527793,-1.980217,0.18593481,1.5737464,1.550545,1.6643873,1.6554878,2.0237854,-0.7502639
5,-2.3985586,-2.0737424,-1.408235,1.0905907,-0.77445304,1.6204474,-1.0861735,1.4023342,2.578577,-1.657336
5,1.287076,-0.16263646,-1.3839862,0.17407387,1.6340039,0.69719255,-0.18940078,0.45186025,-0.22800267,-3.1175117
5,0.5227512,-1.6734183,-0.5790602,0.07155773,0.7271645,3.1393273,0.36430672,2.261344,0.03991306,-3.1855335
5,-1.0867497,0.8942932,-0.43702626,-0.5600312,1.6610034,1.865285,-1.0443989,-0.7590623,-1.6613615,-1.1705407
5,1.7396146,1.7887301,0.8112261,-2.276764,1.3816122,-1.1223587,0.24604473,-0.7567495,0.66523314,2.8770971
5,1.8764567,2.15588,-1.9035099,-1.934154,0.5620699,2.1577415,-1.1661372,1.0835638,1.175839,0.0042750835
5,3.7482665,1.0334072,0.09021315,-0.7817724,1.3712351,-0.19656986,-1.0567409,-0.38269657,-1.4659798,2.3476794
5,1.3427929,0.82761323,3.7373188,-1.4212928,0.19411251,-0.25071812,1.1942363,-0.0024905205,-1.1179091,2.7027164
5,1.2004988,-0.3032884,-0.035995856,-0.7081567,1.6286757,-2.7934108,1.4842966,-3.8556867,-1.7586224,3.648328
5,-0.57129765,-0.6985974,-1.0390238,-1.0324535,0.33513415,1.5824744,-1.1169864,1.0323032,1.9957308,0.68499863
5,1.4789376,0.8270569,1.8942685,-0.26079512,0.5413501,1.8824899,-1.4303246,-2.5848157,-0.20438695,4.3485193
5,4.5565763,-0.5680199,0.8390691,-0.7105219,1.7709582,-3.258423,-1.1153889,-2.6340904,-2.9636962,2.366467
5,1.5386434,0.68039817,-1.5462844,-1.8311088,-0.9823594,-1.0933044,-0.03153564,-1.8392156,-0.90859175,1.6243179
5,2.7601063,0.70601606,0.8071543,-1.9733715,0.8180973,-2.125482,2.5679677,-2.8132057,-1.3701361,3.140566
5,2.1527543,1.211047,0.6849086,0.44486272,0.6039226,-0.3794939,-0.3847872,-1.5837094,-1.4214629,4.768431
5,2.3856175,0.55191773,-0.08907495,0.23953092,0.57475615,-0.9231998,-1.1253399,-1.3837411,-1.8967495,7.2050934
5,2.320076,0.995711,1.151922,-0.12066138,-1.6007471,-0.26738948,-0.89544266,-3.3855872,-0.57624125,3.3546488
5,1.2515192,0.13262768,-1.3456242,-2.268105,0.50747836,0.6295433,1.4054677,0.31779528,1.9707824,0.14135695
5,1.7557042,2.2184536,0.7547439,1.1487417,1.1146188,-1.6210697,3.1567395,-1.884733,-1.3071749,4.7517653
5,3.2361016,-0.110008866,1.353152,-0.2473536,0.63486254,-2.4041517,-1.3174798,-0.6543648,-4.603467,4.76243
5,2.2993531,-0.12664872,-0.46088424,-0.83175045,-0.30633914,0.27851936,0.1233141,-1.0876213,-1.5964309,3.2232316
5,2.6590996,0.40529877,-0.08119888,-0.8463085,0.57561445,-0.0772741,-0.22323057,0.6420008,-2.3210976,5.6027575
5,2.0389025,0.41461772,1.4728675,-1.6273034,0.57715493,-0.43941623,0.074778736,-2.2319925,-2.32235,2.0144446
5,1.5872625,0.708508,-0.05532107,-0.6787003,2.772194,-0.909623,-1.2917892,-0.00077301264,-1.4736304,3.9254103
5,3.626817,-0.25009447,-0.042925656,-0.24957833,1.4444768,-2.615178,2.3602095,-0.05418396,-3.3636088,1.3089714
5,1.8218782,0.43614256,0.19883825,-1.9432371,0.8900815,-0.23022592,-1.1998717,-2.3068185,-5.294018,3.0839462
5,1.0779449,1.279626,1.9239022,-1.771785,0.3188759,-1.6765971,-0.77007973,-0.35457313,-3.0018492,3.9428532
5,-0.27943885,0.2592502,1.0394531,-0.6808058,1.4877341,-2.698381,0.48813576,-1.7618642,-0.7371234,2.3821359
5,1.3667972,0.7166136,0.6596617,-1.4477208,0.8645799,0.19690025,-1.5038962,-3.3387218,-2.5923934,4.8658557
5,2.2559114,0.07067782,-1.0352273,-0.04582745,-0.6589072,0.40547395,-0.8207108,-2.5533187,-4.2237267,1.9437125
5,0.37350106,-0.2682978,-0.16451901,-0.3820684,-0.14158249,-1.2016228,-0.6611531,0.05807686,-0.5585226,2.6939335
5,2.6382818,1.4735581,-0.54292214,0.014939129,0.95862764,-0.7202444,3.4375885,-0.86312115,-0.22862422,2.421029
5,0.48242605,1.3358202,0.3059706,-0.5153439,-0.6594931,-1.7457496,-0.10205579,-1.1452451,-1.2008626,3.0615811
5,2.0311801,-0.049497366,-0.18705511,-1.3702669,-0.5268514,2.124026,0.64473164,0.42717484,-0.88563585,2.843697
5,3.761365,0.7169279,1.8519666,-0.95925474,1.2291594,-1.9661138,1.3966143,-1.4084291,-2.1551764,4.1929326
5,1.8887464,1.8611156,1.4097223,0.26409072,-0.08588634,-1.6983261,2.1940763,-3.6061063,-2.2757945,5.08123
5,2.3716311,0.260024,2.426036,-3.267744,-0.028070047,-1.1103904,1.5952574,-2.6805255,-2.647666,5.9821362
5,1.6253817,0.28441787,-0.16294743,-2.353827,-0.24570009,-1.4272085,1.0409453,-0.6957148,-2.5711408,4.859654
5,3.9653382,1.7472183,2.0886507,0.62083817,0.05169654,-2.0372267,0.907627,-1.3880037,-2.8707628,4.6413016
5,2.2775054,0.7704235,0.61592877,-0.5771743,-0.119101584,-1.3538504,0.38352937,-1.5510803,-1.0262724,4.5966635
