,,loss,loss
,,val,train
epoch,step,,
0,19,488104.90625,405092.03125
1,39,391207.09375,386453.25
2,59,371542.65625,369841.0625
3,79,361855.03125,362083.46875
4,99,357963.40625,358643.59375
5,119,356351.59375,356760.53125
6,139,354878.0,355497.3125
7,159,353781.75,354453.78125
8,179,352808.9375,353451.71875
9,199,351357.125,352363.28125
10,219,350092.53125,351054.0625
11,239,348481.09375,349613.09375
12,259,346585.90625,347946.15625
13,279,344556.90625,346032.25
14,299,342162.96875,343961.4375
15,319,339917.03125,341639.4375
16,339,337648.4375,339261.34375
17,359,335258.4375,336832.84375
18,379,332968.25,334420.28125
19,399,330554.59375,331980.875
20,419,328619.21875,329753.71875
21,439,326139.3125,327658.40625
22,459,324392.6875,325788.46875
23,479,322939.09375,324120.0625
24,499,321611.4375,322720.78125
25,519,320712.34375,321508.09375
26,539,319919.9375,320566.46875
27,559,319146.09375,319751.8125
28,579,318615.75,319149.78125
29,599,318347.8125,318719.9375
30,619,318059.65625,318357.125
31,639,317809.375,318093.5625
32,659,317653.9375,317882.0625
33,679,317575.71875,317784.59375
34,699,317537.375,317670.28125
35,719,317464.90625,317603.0
36,739,317388.0,317519.28125
37,759,317358.96875,317488.34375
38,779,317354.25,317482.65625
39,799,317365.25,317404.9375
40,819,317319.25,317414.53125
41,839,317266.53125,317364.4375
42,859,317254.875,317366.0625
43,879,317260.40625,317392.875
44,899,317241.75,317390.21875
45,919,317218.46875,317349.625
46,939,317209.8125,317307.09375
47,959,317214.96875,317318.375
48,979,317190.375,317308.6875
49,999,317193.40625,317316.0625
50,1019,317201.3125,317283.21875
51,1039,317170.46875,317298.15625
52,1059,317183.8125,317255.46875
53,1079,317162.21875,317286.875
54,1099,317171.03125,317242.03125
55,1119,317161.78125,317259.46875
56,1139,317157.71875,317237.84375
57,1159,317150.78125,317247.15625
58,1179,317132.3125,317233.15625
59,1199,317126.625,317236.59375
60,1219,317138.25,317228.78125
61,1239,317121.21875,317230.59375
62,1259,317123.28125,317221.59375
63,1279,317106.0,317207.0
64,1299,317131.0625,317203.96875
65,1319,317118.8125,317179.6875
66,1339,317099.875,317175.6875
67,1359,317105.625,317183.875
68,1379,317089.8125,317187.46875
69,1399,317100.90625,317200.9375
70,1419,317079.25,317135.375
71,1439,317072.78125,317171.625
72,1459,317063.03125,317162.96875
73,1479,317072.375,317140.375
74,1499,317064.75,317215.625
75,1519,317057.03125,317154.34375
76,1539,317061.21875,317120.375
77,1559,317054.75,317129.4375
78,1579,317052.59375,317147.0625
79,1599,317056.75,317136.78125
80,1619,317054.625,317114.875
81,1639,317062.6875,317145.625
